ID,ID_POSTE,ESPECIE,LATITUDE,LONGITUDE,ALTURA(m),Image_Path
AR5379,29317131,PALMEIRA,-10.912806,-37.036153,5,data/imagem/AR5379_5379.jpg
AR6978,29475033,PALMEIRA,-10.710115,-37.316498,7,data/imagem/AR6978_6978.jpg
AR1837,29325584,PALMEIRA,-11.035508,-37.168505,4,data/imagem/AR1837_1837.jpg
AR1388,239742628,SERIGUELA,-10.869648,-37.132229,7,data/imagem/AR1388_1388.jpg
AR6023,29258877,SANSAO DO CAMPO,-10.787249,-37.043189,7,data/imagem/AR6023_6023.jpg
AR2273,29326954,SANSAO DO CAMPO,-10.949137,-37.22441,5,data/imagem/AR2273_2273.jpg
AR6100,29533423,SANSAO DO CAMPO,-10.757534,-37.110165,6,data/imagem/AR6100_6100.jpg
AR6106,29222198,SANSAO DO CAMPO,-10.693733,-37.035061,6,data/imagem/AR6106_6106.jpg
AR6114,29536019,SANSAO DO CAMPO,-10.755683,-37.109939,5,data/imagem/AR6114_6114.jpg
AR6131,29354781,SANSAO DO CAMPO,-10.759805,-37.10952,6,data/imagem/AR6131_6131.jpg
AR6382,29205788,SANSAO DO CAMPO,-10.823548,-37.299461,7,data/imagem/AR6382_6382.jpg
AR1074,29388345,SANSAO DO CAMPO,-10.899156,-37.159689,9,data/imagem/AR1074_1074.jpg
AR1210,29327588,SANSAO DO CAMPO,-10.92332,-37.21107,12,data/imagem/AR1210_1210.jpg
AR1211,29327588,SANSAO DO CAMPO,-10.923321,-37.211078,11,data/imagem/AR1211_1211.jpg
AR6249,29517900,SANSAO DO CAMPO,-10.697506,-37.022348,4,data/imagem/AR6249_6249.jpg
AR1395,29453366,SANSAO DO CAMPO,-10.975962,-37.178264,10,data/imagem/AR1395_1395.jpg
AR1403,29426262,SANSAO DO CAMPO,-10.978621,-37.176735,8,data/imagem/AR1403_1403.jpg
AR1405,29427729,SANSAO DO CAMPO,-10.979261,-37.175209,"7,5",data/imagem/AR1405_1405.jpg
AR1481,29373636,SANSAO DO CAMPO,-10.880756,-37.185022,5,data/imagem/AR1481_1481.jpg
AR1507,29518887,SANSAO DO CAMPO,-10.874457,-37.187038,5,data/imagem/AR1507_1507.jpg
AR1510,29518967,SANSAO DO CAMPO,-10.874058,-37.18672,7,data/imagem/AR1510_1510.jpg
AR1580,29386326,SANSAO DO CAMPO,-10.912571,-37.157506,6,data/imagem/AR1580_1580.jpg
AR1622,29386720,SANSAO DO CAMPO,-10.910647,-37.150942,"8,5",data/imagem/AR1622_1622.jpg
AR1624,29386815,SANSAO DO CAMPO,-10.90987,-37.149867,6,data/imagem/AR1624_1624.jpg
AR2159,29326238,SANSAO DO CAMPO,-11.023794,-37.158642,8,data/imagem/AR2159_2159.jpg
AR1680,248880251,SANSAO DO CAMPO,-11.02562,-37.198454,6,data/imagem/AR1680_1680.jpg
AR2161,29326238,SANSAO DO CAMPO,-11.023701,-37.158574,6,data/imagem/AR2161_2161.jpg
AR2162,29326265,SANSAO DO CAMPO,-11.02322,-37.15864,6,data/imagem/AR2162_2162.jpg
AR2163,29326265,SANSAO DO CAMPO,-11.023338,-37.158923,7,data/imagem/AR2163_2163.jpg
AR1815,29327970,SANSAO DO CAMPO,-11.02964,-37.173766,7,data/imagem/AR1815_1815.jpg
AR1838,252547317,SANSAO DO CAMPO,-11.036528,-37.168465,6,data/imagem/AR1838_1838.jpg
AR1850,29270771,SANSAO DO CAMPO,-11.043143,-37.165281,6,data/imagem/AR1850_1850.jpg
AR1854,29269857,SANSAO DO CAMPO,-11.04403,-37.165346,6,data/imagem/AR1854_1854.jpg
AR1873,29325482,SANSAO DO CAMPO,-11.041814,-37.161819,5,data/imagem/AR1873_1873.jpg
AR1902,29327013,SANSAO DO CAMPO,-11.044947,-37.151658,5,data/imagem/AR1902_1902.jpg
AR1911,29283530,SANSAO DO CAMPO,-11.016869,-37.231302,6,data/imagem/AR1911_1911.jpg
AR1953,29226530,SANSAO DO CAMPO,-10.994732,-37.263187,"7,5",data/imagem/AR1953_1953.jpg
